timeInSecondsSinceEpoch;source;destination;databytes
1717607610.991821;192.168.1.1.8888;172.23.69.13.59034;aa8758a5291a
1717607610.991949;192.168.1.1.8888;172.23.69.13.59034;3bdd871b69a5
1717607610.992058;192.168.1.1.8888;172.23.69.13.59034;672352467f91
1717607610.992181;192.168.1.1.8888;172.23.69.13.59034;94b3b6f1b297
1717607610.992280;192.168.1.1.8888;172.23.69.13.59034;5d6de78d8ce7
1717607611.025808;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607611.025870;192.168.1.1.8888;172.23.69.13.59034;455be1671799
1717607611.025880;192.168.1.1.8888;172.23.69.13.59034;474187a61c57
1717607611.057666;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607611.057961;192.168.1.1.8888;172.23.69.13.59034;a28e167b57eb
1717607611.057982;192.168.1.1.8888;172.23.69.13.59034;6c06cc649128
1717607611.057985;192.168.1.1.8888;172.23.69.13.59034;e1765995676e
1717607611.088509;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607611.088548;192.168.1.1.8888;172.23.69.13.59034;50aad5ec0695
1717607611.088562;192.168.1.1.8888;172.23.69.13.59034;60f037b77cf3
1717607611.090290;192.168.1.1.8888;172.23.69.13.59034;5a0e01ebb77d
1717607611.090351;192.168.1.1.8888;172.23.69.13.59034;d47f87e03c38
1717607611.090541;192.168.1.1.8888;172.23.69.13.59034;ff0eb4b9557d
1717607611.090753;192.168.1.1.8888;172.23.69.13.59034;bd54ffee4458
1717607611.090875;192.168.1.1.8888;172.23.69.13.59034;7725c9ec69ec
1717607611.090987;192.168.1.1.8888;172.23.69.13.59034;df8518b0cdd7
1717607611.091099;192.168.1.1.8888;172.23.69.13.59034;8e2e6fba5eaa
1717607611.091230;192.168.1.1.8888;172.23.69.13.59034;cb98da712304
1717607611.091315;192.168.1.1.8888;172.23.69.13.59034;4e066345678a
1717607611.124773;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607611.124828;192.168.1.1.8888;172.23.69.13.59034;c64aa42d76c2
1717607611.124835;192.168.1.1.8888;172.23.69.13.59034;f4bb25f3209d
1717607611.164910;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607611.164973;192.168.1.1.8888;172.23.69.13.59034;4bc667e742ae
1717607611.164980;192.168.1.1.8888;172.23.69.13.59034;75cb14f6a374
1717607611.189676;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607611.190057;192.168.1.1.8888;172.23.69.13.59034;e2b614b01377
1717607611.190073;192.168.1.1.8888;172.23.69.13.59034;726ff305dfaf
1717607611.190077;192.168.1.1.8888;172.23.69.13.59034;67de8e7bc5a4
1717607611.197665;192.168.1.1.8888;172.23.69.13.59034;deff9b529104
1717607611.197702;192.168.1.1.8888;172.23.69.13.59034;d0dc929bcd37
1717607611.224000;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607611.224049;192.168.1.1.8888;172.23.69.13.59034;0c30cdda6312
1717607611.224141;192.168.1.1.8888;172.23.69.13.59034;b993aed93980
1717607611.224221;192.168.1.1.8888;172.23.69.13.59034;324552baaf94
1717607611.224438;192.168.1.1.8888;172.23.69.13.59034;2d225fefa302
1717607611.224452;192.168.1.1.8888;172.23.69.13.59034;49392e0b35bc
1717607611.224640;192.168.1.1.8888;172.23.69.13.59034;5234e1f6733e
1717607611.259986;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607611.260046;192.168.1.1.8888;172.23.69.13.59034;5e254992bb6f
1717607611.260059;192.168.1.1.8888;172.23.69.13.59034;60014a76e22b
1717607611.288524;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607611.288750;192.168.1.1.8888;172.23.69.13.59034;55b102e3ff29
1717607611.289229;192.168.1.1.8888;172.23.69.13.59034;ae9f7639a577
1717607611.289319;192.168.1.1.8888;172.23.69.13.59034;b97872c74a6f
1717607611.289428;192.168.1.1.8888;172.23.69.13.59034;0c3b07a4bc85
1717607611.289530;192.168.1.1.8888;172.23.69.13.59034;c698b566b124
1717607611.289671;192.168.1.1.8888;172.23.69.13.59034;5fdc99ed11d2
1717607611.289778;192.168.1.1.8888;172.23.69.13.59034;6ea1559c4772
1717607611.289909;192.168.1.1.8888;172.23.69.13.59034;90a1b09f436f
1717607611.290072;192.168.1.1.8888;172.23.69.13.59034;c4112f5b18b9
1717607611.290160;192.168.1.1.8888;172.23.69.13.59034;9c1c634a5bfb
1717607611.290285;192.168.1.1.8888;172.23.69.13.59034;8114dbf9e2e9
1717607611.290397;192.168.1.1.8888;172.23.69.13.59034;9c758cc1cf71
1717607611.290518;192.168.1.1.8888;172.23.69.13.59034;92067a5594c2
1717607611.290660;192.168.1.1.8888;172.23.69.13.59034;3ebf209bdeb0
1717607611.290765;192.168.1.1.8888;172.23.69.13.59034;5b26631e5584
1717607611.290883;192.168.1.1.8888;172.23.69.13.59034;f778db818683
1717607611.291009;192.168.1.1.8888;172.23.69.13.59034;ad915d387460
1717607611.291178;192.168.1.1.8888;172.23.69.13.59034;4d3b79822cd1
1717607611.291280;192.168.1.1.8888;172.23.69.13.59034;9c2db76d1221
1717607611.291351;192.168.1.1.8888;172.23.69.13.59034;314544ea8989
1717607611.324543;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607611.326743;192.168.1.1.8888;172.23.69.13.59034;d39ed71d3230
1717607611.326818;192.168.1.1.8888;172.23.69.13.59034;931cf631d592
1717607611.326827;192.168.1.1.8888;172.23.69.13.59034;50fea03a8466
1717607611.355313;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607611.355358;192.168.1.1.8888;172.23.69.13.59034;dc16b289bd95
1717607611.355390;192.168.1.1.8888;172.23.69.13.59034;729fa741aa1c
1717607611.355516;192.168.1.1.8888;172.23.69.13.59034;86de6dfb9419
